Number,Description,File_name,foodPic,ID,Location,Zipcode,Restaurant_Name,Offer_Delivery,Phone,Price,EatStreetAPIKey,Dietary,Type_of_meal,Genre,Class1,Class2,Class3,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,,,,,,,,
1,12_oz_Kansas_City_Strip,12_oz_Kansas_City_Strip.jpg,Nick_and_Jake_s/12_oz_Kansas_City_Strip.jpg,1,"5031 Main St, Kansas City, MO 64112",64112,Nick_and_Jake_s,0,8164211111,,,Meat,Other,,meats,,,potatos,beef,asparagus,angus,kansas,mashed,strip,,,,,,,,,,,,,,,,,,,,,,,,
2,12oz_Skirt_Steak,12oz_Skirt_Steak.jpg,Brady_s_Public_House/12oz_Skirt_Steak.jpg,2,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$18.00,,Meat,Dinner,American,Meats,,,beef,sauce,fries,peppercorn,savory,12oz,steak,skirt,ketchup,,,,,,,,,,,,,,,,,,,,,,
3,2_Char_Grilled_Steak_Tacos,2_Char_Grilled_Steak_Tacos.jpg,The_Drunken_Worm/2_Char_Grilled_Steak_Tacos.jpg,3,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,Meat,lunch,,,,,poblano,cheese,pepper,onion,cheddar,charred,tacos,char,lettuce,grilled,steak,,,,,,,,,,,,,,,,,,,,
4,2_Grilled_Veggie_Tacos,2_Grilled_Veggie_Tacos.jpg,The_Drunken_Worm/2_Grilled_Veggie_Tacos.jpg,4,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,vegetarian,lunch,,,,,cheese,cilantro,cauliflower,corn,veggie,tacos,grilled,cabbage,buffalo,,,,,,,,,,,,,,,,,,,,,,
5,2_Shrimp_Tacos,2_Shrimp_Tacos.jpg,The_Drunken_Worm/2_Shrimp_Tacos.jpg,5,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,Meat,dinner,,,,,onion,queso,fresco,tacos,straws,cabbage,shrimp,,,,,,,,,,,,,,,,,,,,,,,,
6,2-Tone_Knot,2_Tone_Knot.jpg,LaMar_s_Donuts/2_Tone_Knot.jpg,6,"12520 Quivira Rd, Overland Park, KS 66213",66213,LaMar_s_Donuts,1,9134024426,$2.49,9858718,Vegetarian,Breakfast,Breakfast,breakfast,dessert,bakery,tone,sweet,glaze,chocolate,donut,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3_Ball_2_Strike,3_Ball_2_Strike.jpg,Domo/3_Ball_2_Strike.jpg,7,"6322 Brookside Plaza, Kansas City, MO 64113",64113,Domo,0,8163336315,,,,sushi,,,,,strike,ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3_Tacos,3_Tacos.jpg,The_Drunken_Worm/3_Tacos.jpg,8,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,Other,lunch,,,,,sides,tacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3_Tacos,3_Tacos1.jpg,The_Drunken_Worm/3_Tacos1.jpg,9,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,Other,Other,,,,,sides,tacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,365_Aged_Hanger_Steak,365_Aged_Hanger_Steak.jpg,The_Farmhouse/365_Aged_Hanger_Steak.jpg,10,"4686 Broadway St Kansas City, MO 64112",64105,The_Farmhouse,0,8165696032,,,Meat,dinner,,,,,blue,cheese,aged,house,fries,verde,hanger,buttered,salsa,steak,,,,,,,,,,,,,,,,,,,,,
11,365_Aged_Hanger_Steak,365_Aged_Hanger_Steak1.jpg,The_Farmhouse/365_Aged_Hanger_Steak1.jpg,11,"4686 Broadway St Kansas City, MO 64112",64105,The_Farmhouse,0,8165696032,,,Meat,lunch,,,,,blue,cheese,aged,house,fries,verde,hanger,buttered,salsa,steak,,,,,,,,,,,,,,,,,,,,,
12,39th_Street_Pizza,39th_Street_Pizza.jpg,Artego_Pizza/39th_Street_Pizza.jpg,12,"900 W 39th St, Kansas City, MO 64111",64111,Artego_Pizza,0,8169604787,,,meat,lunch,italian,pizza,,,cheese,sausage,beef,bell,pepper,39th,mushrooms,street,green,pepperoni,pizza,,,,,,,,,,,,,,,,,,,,
13,39th_Street_Taco,39th_Street_Taco1.jpg,TiKiTaco/39th_Street_Taco1.jpg,13,"1710 W 39th St, Kansas City, MO 64111",64111,TiKiTaco,0,8164893686,,,Meat,lunch,,,,,asada,pork,cilantro,onion,shredded,pastor,39th,carne,street,taco,chicken,,,,,,,,,,,,,,,,,,,,
14,39th_Street_Taco,39th_Street_Taco2.jpg,TiKiTaco/39th_Street_Taco2.jpg,14,"1710 W 39th St, Kansas City, MO 64111",64111,TiKiTaco,0,8164893686,,,Meat,lunch,,,,,asada,pork,cilantro,onion,shredded,pastor,39th,carne,street,taco,chicken,,,,,,,,,,,,,,,,,,,,
15,39th_Street_Taco,39th_Street_Taco3.jpg,TiKiTaco/39th_Street_Taco3.jpg,15,"1710 W 39th St, Kansas City, MO 64111",64111,TiKiTaco,0,8164893686,,,Meat,lunch,,,,,asada,pork,cilantro,onion,shredded,pastor,39th,carne,street,taco,chicken,,,,,,,,,,,,,,,,,,,,
16,4_Chicken_Tacos,4_Chicken_Tacos.jpg,The_Drunken_Worm/4_Chicken_Tacos.jpg,16,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,Meat,dinner,,,,,dessert,chicken,sides,tacos,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8_Hour_Corned_Beef_Hash,8_Hour_Corned_Beef_Hash.jpg,Beer_Kitchen/8_Hour_Corned_Beef_Hash.jpg,17,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,meat,breakfast,breakfast,breakfast,,,toast,hash,hour,beef,root,rye,corned,jus,vegetable,braised,fried,egg,,,,,,,,,,,,,,,,,,,
