Number,Description,File_name,foodPic,ID,Location,Zipcode,Restaurant_Name,Offer_Delivery,Phone,Price,EatStreetAPIKey,Dietary,Type_of_meal,Genre,Class1,Class2,Class3,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37,Item38,Item39,Item40
1,12_oz_Kansas_City_Strip,12_oz_Kansas_City_Strip.jpg,Nick_and_Jake_s/12_oz_Kansas_City_Strip.jpg,1,"5031 Main St, Kansas City, MO 64112",64112,Nick_and_Jake_s,0,8164211111,,,Meat,Other,,meats,,,city,strips,beef,asparagus,potatoes,kansas,mashed,strip,12,angus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12oz_Skirt_Steak,12oz_Skirt_Steak.jpg,Brady_s_Public_House/12oz_Skirt_Steak.jpg,2,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$18.00,,Meat,Dinner,American,Meats,,,beef,sauce,fries,peppercorn,savory,12oz,steak,skirt,ketchup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2_Char_Grilled_Steak_Tacos,2_Char_Grilled_Steak_Tacos.jpg,The_Drunken_Worm/2_Char_Grilled_Steak_Tacos.jpg,3,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,Meat,lunch,,,,,poblano,cheese,cheddar,charred,tacos,char,lettuce,peppers,grilled,steak,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2_Grilled_Veggie_Tacos,2_Grilled_Veggie_Tacos.jpg,The_Drunken_Worm/2_Grilled_Veggie_Tacos.jpg,4,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,vegetarian,lunch,,,,,cheese,cilantro,cauliflower,vegetables,veggie,tacos,grilled,cabbage,buffalo,corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2_Shrimp_Tacos,2_Shrimp_Tacos.jpg,The_Drunken_Worm/2_Shrimp_Tacos.jpg,5,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,Meat,dinner,,,,,queso,fresco,tacos,straws,boom,cabbage,shrimp,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2-Tone_Knot,2_Tone_Knot.jpg,LaMar_s_Donuts/2_Tone_Knot.jpg,6,"12520 Quivira Rd, Overland Park, KS 66213",66213,LaMar_s_Donuts,1,9134024426,$2.49,9858718,Vegetarian,Breakfast,Breakfast,breakfast,dessert,bakery,,tone,sweet,glaze,chocolate,donut,knot,2-tone,glazed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3_Ball_2_Strike,3_Ball_2_Strike.jpg,Domo/3_Ball_2_Strike.jpg,7,"6322 Brookside Plaza, Kansas City, MO 64113",64113,Domo,0,8163336315,,,,sushi,,,,,spicy,fish,avocado,japanese,sesame,ball,seeds,strike,mayonnaise,eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3_Tacos,3_Tacos.jpg,The_Drunken_Worm/3_Tacos.jpg,8,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,Other,lunch,,,,,tacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3_Tacos,3_Tacos1.jpg,The_Drunken_Worm/3_Tacos1.jpg,9,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,Other,Other,,,,,tacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,365_Aged_Hanger_Steak,365_Aged_Hanger_Steak.jpg,The_Farmhouse/365_Aged_Hanger_Steak.jpg,10,"4686 Broadway St Kansas City, MO 64112",64105,The_Farmhouse,0,8165696032,,,Meat,dinner,,,,,blue,cheese,hanger,house,fries,aged,cut,butter,buttered,salsa,verde,steak,365,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,365_Aged_Hanger_Steak,365_Aged_Hanger_Steak1.jpg,The_Farmhouse/365_Aged_Hanger_Steak1.jpg,11,"4686 Broadway St Kansas City, MO 64112",64105,The_Farmhouse,0,8165696032,,,Meat,lunch,,,,,blue,cheese,hanger,house,fries,aged,cut,butter,buttered,salsa,verde,steak,365,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,39th_Street_Pizza,39th_Street_Pizza.jpg,Artego_Pizza/39th_Street_Pizza.jpg,12,"900 W 39th St, Kansas City, MO 64111",64111,Artego_Pizza,0,8169604787,,,meat,lunch,italian,pizza,,,cheese,sausage,beef,bell,39th,mushrooms,street,green,pepperoni,peppers,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,39th_Street_Taco,39th_Street_Taco1.jpg,TiKiTaco/39th_Street_Taco1.jpg,13,"1710 W 39th St, Kansas City, MO 64111",64111,TiKiTaco,0,8164893686,,,Meat,lunch,,,,,asada,pork,cilantro,shredded,pastor,39th,al,carne,street,taco,chicken,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,39th_Street_Taco,39th_Street_Taco2.jpg,TiKiTaco/39th_Street_Taco2.jpg,14,"1710 W 39th St, Kansas City, MO 64111",64111,TiKiTaco,0,8164893686,,,Meat,lunch,,,,,asada,pork,cilantro,shredded,pastor,39th,al,carne,street,taco,chicken,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
