Number,Description,File_name,foodPic,ID,Location,Zipcode,Restaurant_Name,Offer_Delivery,Phone,Price,EatStreetAPIKey,Dietary,Type_of_meal,Genre,Class,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12
1,Campanelle_Carbonara,Campanelle_Carbonara.jpg,Brio_Tuscan_Grille/Campanelle_Carbonara.jpg,1,"502 Nichols Rd, Kansas City, MO 64112",64112,Brio_Tuscan_Grille,0,8165615888,0,0,0,Dessert,French,Dessert,sweet ,,,,,,,,,,,
2,Hamburger,Hamburger.jpg,Chubby_s/Hamburger.jpg,2,"3756 Broadway Blvd, Kansas City, MO 64111",64111,Chubby_s,0,8169312482,0,0,0,Dessert,French,Dessert,sweet ,,,,,,,,,,,
3,Parmesan_Crusted_Chicken1,Parmesan_Crusted_Chicken1.jpg,McCormick_and_Schmick_s_Seafood_and_Steaks/Parmesan_Crusted_Chicken1.jpg,3,"448 W 47th St, Kansas City, MO 64112",64112,McCormick_and_Schmick_s_Seafood_and_Steaks,0,8165316800,0,0,0,Dessert,French,Dessert,sweet ,,,,,,,,,,,
4,Scottish_Wild_Isles_Salmon,Scottish_Wild_Isles_Salmon.jpg,McCormick_and_Schmick_s_Seafood_and_Steaks/Scottish_Wild_Isles_Salmon.jpg,4,"448 W 47th St, Kansas City, MO 64112",64112,McCormick_and_Schmick_s_Seafood_and_Steaks,0,8165316800,0,0,0,Dessert,French,Dessert,sweet ,,,,,,,,,,,
5,Seared_Sea_Scallops,Seared_Sea_Scallops.jpg,McCormick_and_Schmick_s_Seafood_and_Steaks/Seared_Sea_Scallops.jpg,5,"448 W 47th St, Kansas City, MO 64112",64112,McCormick_and_Schmick_s_Seafood_and_Steaks,0,8165316800,0,0,0,Dessert,French,Dessert,sweet ,,,,,,,,,,,
6,Buttermilk_Fried_Oysters1,Buttermilk_Fried_Oysters1.jpg,McCormick_and_Schmick_s_Seafood_and_Steaks/Buttermilk_Fried_Oysters1.jpg,6,"448 W 47th St, Kansas City, MO 64112",64112,McCormick_and_Schmick_s_Seafood_and_Steaks,0,8165316800,0,0,0,Dessert,French,Dessert,sweet ,,,,,,,,,,,
7,Chilean_Sea_Bass_Dashi1,Chilean_Sea_Bass_Dashi1.jpg,McCormick_and_Schmick_s_Seafood_and_Steaks/Chilean_Sea_Bass_Dashi1.jpg,7,"448 W 47th St, Kansas City, MO 64112",64112,McCormick_and_Schmick_s_Seafood_and_Steaks,0,8165316800,0,0,0,Dessert,French,Dessert,sweet ,,,,,,,,,,,
8,Shrimp_Kisses,Shrimp_Kisses.jpg,McCormick_and_Schmick_s_Seafood_and_Steaks/Shrimp_Kisses.jpg,8,"448 W 47th St, Kansas City, MO 64112",64112,McCormick_and_Schmick_s_Seafood_and_Steaks,0,8165316800,0,0,0,Dessert,French,Dessert,sweet ,,,,,,,,,,,
9,Assorted_Crostini,Assorted_Crostini.jpg,Ragazza_Food_and_Wine/Assorted_Crostini.jpg,9,"301 Westport Rd, Kansas City, MO 64111",64111,Ragazza_Food_and_Wine,0,8169604744,0,0,0,Dessert,French,Dessert,sweet ,,,,,,,,,,,
10,Chocolate_Bag1,Chocolate_Bag1.jpg,McCormick_and_Schmick_s_Seafood_and_Steaks/Chocolate_Bag1.jpg,10,"448 W 47th St, Kansas City, MO 64112",64112,McCormick_and_Schmick_s_Seafood_and_Steaks,0,8165316800,0,0,0,Dessert,French,Dessert,sweet ,,,,,,,,,,,
