Number,Description,File_name,foodPic,ID,Location,Zipcode,Restaurant_Name,Offer_Delivery,Phone,Price,EatStreetAPIKey,Dietary,Type_of_meal,Genre,Class,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,,,,
1,12_oz_Kansas_City_Strip,12_oz_Kansas_City_Strip.jpg,Nick_and_Jake_s/12_oz_Kansas_City_Strip.jpg,1,"5031 Main St, Kansas City, MO 64112",64112,Nick_and_Jake_s,0,8164211111,,,Meat,lunch,,meats,city,12,beef,asparagus,angus,kansas,mashed,strip,potatos,,,,,,,,,,,,,,,,,,,,,,
2,12oz_Skirt_Steak,12oz_Skirt_Steak.jpg,Brady_s_Public_House/12oz_Skirt_Steak.jpg,2,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$18.00,,Meat,Dinner,American,Meats,beef,skirt,fries,savory,peppercorn,12oz,steak,sauce,ketchup,,,,,,,,,,,,,,,,,,,,,,
3,2_Char_Grilled_Steak_Tacos,2_Char_Grilled_Steak_Tacos.jpg,The_Drunken_Worm/2_Char_Grilled_Steak_Tacos.jpg,3,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,Meat,dinner,,meats,poblano,cheese,pepper,onion,cheddar,tacos,char,lettuce,grilled,steak,taco,,,,,,,,,,,,,,,,,,,,
4,2_Grilled_Veggie_Tacos,2_Grilled_Veggie_Tacos.jpg,The_Drunken_Worm/2_Grilled_Veggie_Tacos.jpg,4,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,vegetarian,dinner,,Tacos,cheese,cilantro,cauliflower,corn,veggie,tacos,grilled,cabbage,buffalo,,,,,,,,,,,,,,,,,,,,,,
5,2_Shrimp_Tacos,2_Shrimp_Tacos.jpg,The_Drunken_Worm/2_Shrimp_Tacos.jpg,5,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,Meat,dinner,,Tacos,onion,queso,fresco,shrimp,straws,boom,cabbage,tacos,,,,,,,,,,,,,,,,,,,,,,,
6,2-Tone_Knot,2_Tone_Knot.jpg,LaMar_s_Donuts/2_Tone_Knot.jpg,6,"12520 Quivira Rd, Overland Park, KS 66213",66213,LaMar_s_Donuts,1,9134024426,$2.49,9858718,Vegetarian,Breakfast,,breakfast,sweet,glaze,chocolate,knot,2-tone,donuts,dessert,bakery,,,,,,,,,,,,,,,,,,,,,,,
7,3_Ball_2_Strike,3_Ball_2_Strike.jpg,Domo/3_Ball_2_Strike.jpg,7,"6322 Brookside Plaza, Kansas City, MO 64113",64113,Domo,0,8163336315,,,meat,Lunch,,Sushi,spicy,eggs,mayo,avocado,japanese,ball,sesame,seeds,strike,fish,,,,,,,,,,,,,,,,,,,,,
8,3_Tacos,3_Tacos.jpg,The_Drunken_Worm/3_Tacos.jpg,8,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,Other,dinner,,tacos,the,choice,bowl,sides,tacos,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3_Tacos,3_Tacos1.jpg,The_Drunken_Worm/3_Tacos1.jpg,9,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,Other,lunch,,tacos,the,choice,bowl,sides,tacos,,,,,,,,,,,,,,,,,,,,,,,,,,
10,365_Aged_Hanger_Steak,365_Aged_Hanger_Steak.jpg,The_Farmhouse/365_Aged_Hanger_Steak.jpg,10,"4686 Broadway St Kansas City, MO 64112",64105,The_Farmhouse,0,8165696032,,,Meat,dinner,,meats,blue,cheese,cut,steak,house,fries,aged,verde,hanger,butter,salsa,365,,,,,,,,,,,,,,,,,,,
