Number,Description,File_name,foodPic,ID,Location,Zipcode,Restaurant_Name,Offer_Delivery,Phone,Price,EatStreetAPIKey,Type_of_meal,Genre,Class,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,,,,,,
1,Chocolate Pudding Cake,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/2784298/thumb_275.jpg?1353911045,1,"1610 Main St, Kansas City, MO 64108",Anton_s KC,0,0,8168888800,$7.00 ,,Dessert,Dessert,Dessert,chocolate,vanilla,ice cream,cake,,,,,,,,,,,,
2,Spicy Southwest Blanco Mac & Cheese,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/1052965/thumb_275.jpg?1321590090,2,"1809 W 39th St, Kansas City, MO 64111",Anna_s_Oven,0,0,8167536661,$10.00 ,,Lunch,Italian,Pasta,cheese,mac and cheese,parmesan,noodles,bread crumbs,,,,,,,,,,,
3,Vegetarian Lasagna,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/1052967/thumb_275.jpg?1321590153,3,"1809 W 39th St, Kansas City, MO 64111",Anna_s_Oven,0,0,8167536661,$12.00 ,,Lunch,Italian,Pasta,cheese,vegetables,eggplants,bread,basil,zucchinis,,,,,,,,,,
4,B.B.'s lawnside King Combo,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/4939036/thumb_275.JPG?1408417460,4,"1205 E 85th St, Kansas City, MO 64131",BB_s_Lawnside_BarB_Q,0,0,8168227427,$20.95 ,,Lunch,American,Meats,ribs,BBQ,pork,bread,sausage,pickles,battered fries,fries,beans,,,,,,,
5,Chicken Laab,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/2809520/thumb_275.jpg?1354434826,5,"7249 W 97th St, Overland Park, KS 66212",Bangkok_Pavilion_Thai_Restaurant,0,0,9133413005,$9.96 ,,Lunch,SE Asian,Meats,lime juice,fish sauce,chicken,lettuce,,,,,,,,,,,,
6,One Bowl Stir-Fry,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/1112106/thumb_275.jpg?1323383234,6,"11836 W 95th St, Overland Park, KS 66214",BD_s_Mongolian_Barbeque,0,0,9134384363,$14.49 ,,Lunch,Asian,Pasta,beef,noodles,tomatoes,zucchini,,,,,,,,,,,,
7,Smokestack Burger,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/3352119/thumb_275.jpg?1364678939,7,"435 Westport Rd, Kansas City, MO 64111",Beer_Kitchen,0,0,8163894180,$11.50 ,,Lunch,American,Burger,burnt ends,gouda,BBQ,relish,chipotle,aioli,fried jalapeno straws,buns,fries,,,,,,,
8,Fries,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/1110259/thumb_275.jpg?1323316531,8,"435 Westport Rd, Kansas City, MO 64111",Beer_Kitchen,0,0,8163894180,$4.00 ,,Lunch,American,Appetizer,fries,fried,potatoes,salty,,,,,,,,,,,,
9,Almond_and_Nutella_Beignet,Almond_and_Nutella_Beignet.jpg,Beignet/Almond_and_Nutella_Beignet.jpg,9,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$4.00 ,,Dessert,French,Dessert,sweet,bread,beignet,donut,almonds,nutella,,,,,,,,,,
10,Armstrong_Po_Boy_Sandwich,Armstrong_Po_Boy_Sandwich.jpg,Beignet/Armstrong_Po_Boy_Sandwich.jpg,10,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$11.50 ,,Lunch,American,Sandwich,bread,shrimp,fried,parmesan,lettuce,tomatoes,,,,,,,,,,
